ID,LID,Height,Width,Dir,LinkID
1,54,0,0,0,0
2,55,0,0,0,179
3,56,0,0,0,185
4,57,0,0,0,3
8,61,0,0,0,630
9,63,0,0,0,0
10,64,0,0,0,0
26,80,0,0,0,0
46,100,0,0,0,0
47,101,0,0,0,0
48,102,0,0,0,0
49,103,0,0,0,0
50,104,0,0,0,0
51,105,0,0,0,0
52,106,0,0,0,0
53,107,0,0,0,0
54,108,0,0,0,0
55,109,0,0,0,0
56,110,0,0,0,0
57,111,0,0,0,0
58,112,0,0,0,0
59,113,0,0,0,0
60,114,0,0,0,0
61,115,0,0,0,0
62,116,0,0,0,0
63,117,0,0,0,0
64,118,0,0,0,0
65,119,0,0,0,0
66,120,0,0,0,0
67,121,0,0,0,0
68,122,0,0,0,0
69,123,0,0,0,0
70,124,0,0,0,0
71,125,0,0,0,0
72,126,0,0,0,0
73,127,0,0,0,0
74,128,0,0,0,0
75,129,0,0,0,0
76,130,0,0,0,0
77,131,0,0,0,0
78,132,0,0,0,0
79,133,0,0,0,0
80,134,0,0,0,0
81,135,0,0,0,0
82,136,0,0,0,0
83,137,0,0,0,0
84,138,0,0,0,0
85,139,0,0,0,0
86,140,0,0,0,0
87,141,0,0,0,0
88,142,0,0,0,0
89,143,0,0,0,0
90,144,0,0,0,0
91,145,0,0,0,0
92,146,0,0,0,0
93,147,0,0,0,0
94,148,0,0,0,0
95,149,0,0,0,0
96,150,0,0,0,0
97,152,0,0,0,0
98,153,0,0,0,0
99,154,0,0,0,0
100,155,0,0,0,0
101,156,0,0,0,0
102,157,0,0,0,0
103,158,0,0,0,0
104,159,0,0,0,0
105,160,0,0,0,0
107,165,0,0,0,0
108,166,0,0,0,0
109,167,0,0,0,0
110,168,0,0,0,0
111,169,0,0,0,0
112,170,0,0,0,0
113,171,0,0,0,0
114,172,0,0,0,0
115,173,0,0,0,0
116,174,0,0,0,0
117,175,0,0,0,0
118,176,0,0,0,0
119,177,0,0,0,0
120,178,0,0,0,0
121,179,0,0,0,0
122,180,0,0,0,0
123,181,0,0,0,0
124,182,0,0,0,0
125,183,0,0,0,0
126,184,0,0,0,0
127,185,0,0,0,0
128,186,0,0,0,0
129,193,0,0,0,0
130,194,0,0,0,0
131,195,0,0,0,0
132,226,0,0,0,0
133,227,0,0,0,0
134,228,0,0,0,0
